freq_aligo,strain_aligo,strain_baseline,strain_best
8.93941e+02,6.91287e-25,6.62554e-25,5.67966e-25
8.96307e+02,6.92663e-25,6.61956e-25,5.65485e-25
8.98679e+02,6.94044e-25,6.61355e-25,5.63017e-25
9.01058e+02,6.95429e-25,6.60752e-25,5.60562e-25
9.03443e+02,6.96819e-25,6.60147e-25,5.58119e-25
9.05835e+02,6.98213e-25,6.59539e-25,5.55690e-25
9.08232e+02,6.99612e-25,6.58928e-25,5.53273e-25
9.10636e+02,7.01016e-25,6.58315e-25,5.50870e-25
9.13047e+02,7.02424e-25,6.57700e-25,5.48480e-25
9.15464e+02,7.03837e-25,6.57081e-25,5.46104e-25
9.17887e+02,7.05255e-25,6.56461e-25,5.43741e-25
9.20317e+02,7.06677e-25,6.55837e-25,5.41392e-25
9.22753e+02,7.08105e-25,6.55211e-25,5.39056e-25
9.25195e+02,7.09536e-25,6.54583e-25,5.36735e-25
9.27644e+02,7.10973e-25,6.53952e-25,5.34427e-25
9.30100e+02,7.12414e-25,6.53319e-25,5.32134e-25
9.32562e+02,7.13860e-25,6.52683e-25,5.29855e-25
9.35030e+02,7.15310e-25,6.52044e-25,5.27590e-25
9.37505e+02,7.16766e-25,6.51403e-25,5.25340e-25
9.39987e+02,7.18226e-25,6.50759e-25,5.23104e-25
9.42475e+02,7.19691e-25,6.50113e-25,5.20883e-25
9.44970e+02,7.21160e-25,6.49464e-25,5.18677e-25
9.47471e+02,7.22635e-25,6.48812e-25,5.16486e-25
9.49979e+02,7.24114e-25,6.48158e-25,5.14310e-25
9.52494e+02,7.25598e-25,6.47501e-25,5.12149e-25
9.55015e+02,7.27087e-25,6.46842e-25,5.10004e-25
9.57543e+02,7.28581e-25,6.46180e-25,5.07874e-25
9.60078e+02,7.30080e-25,6.45516e-25,5.05760e-25
9.62619e+02,7.31583e-25,6.44849e-25,5.03661e-25
9.65167e+02,7.33092e-25,6.44179e-25,5.01579e-25
9.67722e+02,7.34605e-25,6.43507e-25,4.99512e-25
9.70283e+02,7.36124e-25,6.42832e-25,4.97462e-25
9.72852e+02,7.37647e-25,6.42154e-25,4.95428e-25
9.75427e+02,7.39175e-25,6.41474e-25,4.93411e-25
9.78009e+02,7.40708e-25,6.40792e-25,4.91410e-25
9.80598e+02,7.42246e-25,6.40107e-25,4.89426e-25
9.83193e+02,7.43789e-25,6.39419e-25,4.87459e-25
9.85796e+02,7.45337e-25,6.38728e-25,4.85510e-25
9.88405e+02,7.46890e-25,6.38035e-25,4.83577e-25
9.91021e+02,7.48448e-25,6.37340e-25,4.81662e-25
9.93645e+02,7.50011e-25,6.36642e-25,4.79764e-25
9.96275e+02,7.51579e-25,6.35941e-25,4.77884e-25
9.98912e+02,7.53152e-25,6.35238e-25,4.76022e-25
1.00156e+03,7.54730e-25,6.34532e-25,4.74178e-25
1.00421e+03,7.56313e-25,6.33823e-25,4.72352e-25
1.00687e+03,7.57901e-25,6.33112e-25,4.70545e-25
1.00953e+03,7.59495e-25,6.32398e-25,4.68756e-25
1.01220e+03,7.61093e-25,6.31682e-25,4.66986e-25
1.01488e+03,7.62697e-25,6.30963e-25,4.65234e-25
1.01757e+03,7.64306e-25,6.30242e-25,4.63502e-25
1.02026e+03,7.65919e-25,6.29518e-25,4.61789e-25
1.02296e+03,7.67538e-25,6.28792e-25,4.60095e-25
1.02567e+03,7.69163e-25,6.28063e-25,4.58420e-25
1.02839e+03,7.70792e-25,6.27331e-25,4.56765e-25
1.03111e+03,7.72427e-25,6.26597e-25,4.55130e-25
1.03384e+03,7.74066e-25,6.25860e-25,4.53515e-25
1.03657e+03,7.75711e-25,6.25121e-25,4.51921e-25
1.03932e+03,7.77362e-25,6.24379e-25,4.50346e-25
1.04207e+03,7.79017e-25,6.23635e-25,4.48792e-25
1.04483e+03,7.80678e-25,6.22888e-25,4.47259e-25
1.04759e+03,7.82344e-25,6.22139e-25,4.45747e-25
1.05037e+03,7.84015e-25,6.21387e-25,4.44255e-25
1.05315e+03,7.85692e-25,6.20633e-25,4.42785e-25
1.05593e+03,7.87374e-25,6.19876e-25,4.41337e-25
1.05873e+03,7.89061e-25,6.19117e-25,4.39909e-25
1.06153e+03,7.90753e-25,6.18355e-25,4.38504e-25
1.06434e+03,7.92451e-25,6.17591e-25,4.37120e-25
1.06716e+03,7.94155e-25,6.16825e-25,4.35758e-25
1.06998e+03,7.95863e-25,6.16056e-25,4.34419e-25
1.07282e+03,7.97577e-25,6.15284e-25,4.33102e-25
1.07565e+03,7.99297e-25,6.14510e-25,4.31808e-25
1.07850e+03,8.01022e-25,6.13734e-25,4.30536e-25
1.08136e+03,8.02752e-25,6.12955e-25,4.29287e-25
1.08422e+03,8.04488e-25,6.12174e-25,4.28061e-25
1.08709e+03,8.06229e-25,6.11391e-25,4.26859e-25
1.08997e+03,8.07975e-25,6.10605e-25,4.25679e-25
1.09285e+03,8.09728e-25,6.09817e-25,4.24524e-25
1.09574e+03,8.11485e-25,6.09027e-25,4.23392e-25
1.09865e+03,8.13248e-25,6.08234e-25,4.22284e-25
1.10155e+03,8.15017e-25,6.07439e-25,4.21200e-25
1.10447e+03,8.16791e-25,6.06642e-25,4.20140e-25
1.10739e+03,8.18571e-25,6.05842e-25,4.19104e-25
1.11032e+03,8.20356e-25,6.05040e-25,4.18093e-25
1.11326e+03,8.22147e-25,6.04236e-25,4.17107e-25
1.11621e+03,8.23944e-25,6.03430e-25,4.16145e-25
1.11916e+03,8.25746e-25,6.02621e-25,4.15208e-25
1.12213e+03,8.27554e-25,6.01811e-25,4.14296e-25
1.12510e+03,8.29367e-25,6.00998e-25,4.13410e-25
1.12808e+03,8.31186e-25,6.00183e-25,4.12549e-25
1.13106e+03,8.33011e-25,5.99366e-25,4.11713e-25
1.13406e+03,8.34841e-25,5.98547e-25,4.10903e-25
